student_id,course_id,quiz_count,avg_score,slope,intercept,r_squared,p_value_slope,score_sequence,trajectory_label
13608,4607,6,96.6667,-1.714286,102.6667,0.1543,0.441113,"100.0,100.0,100.0,100.0,80.0,100.0",Steady High Performer
13863,4607,6,93.3333,-4.571429,109.3333,0.6857,0.041795,"100.0,100.0,100.0,100.0,80.0,80.0",Steady High Performer
14098,4607,6,96.6667,-1.714286,102.6667,0.1543,0.441113,"100.0,100.0,100.0,100.0,80.0,100.0",Steady High Performer
14116,4607,6,96.6667,-1.714286,102.6667,0.1543,0.441113,"100.0,100.0,100.0,100.0,80.0,100.0",Steady High Performer
14265,4607,6,96.6667,-1.714286,102.6667,0.1543,0.441113,"100.0,100.0,100.0,100.0,80.0,100.0",Steady High Performer
14306,4607,6,80.0,4.571429,64.0,0.2286,0.337502,"80.0,80.0,60.0,60.0,100.0,100.0",Steady High Performer
14370,4607,6,96.6667,-1.714286,102.6667,0.1543,0.441113,"100.0,100.0,100.0,100.0,80.0,100.0",Steady High Performer
14413,4607,6,90.0,-1.714286,96.0,0.0857,0.573392,"80.0,100.0,100.0,100.0,80.0,80.0",Steady High Performer
14444,4607,6,86.6667,0.0,86.6667,0.0,1.0,"100.0,80.0,100.0,40.0,100.0,100.0",Steady High Performer
14461,4607,6,90.0,-0.571429,92.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,100.0,80.0",Steady High Performer
14479,4607,6,83.3333,4.0,69.3333,0.2471,0.315825,"80.0,80.0,80.0,60.0,100.0,100.0",Steady High Performer
14487,4607,6,93.3333,0.0,93.3333,0.0,1.0,"100.0,80.0,100.0,100.0,80.0,100.0",Steady High Performer
14834,4607,6,96.6667,-1.714286,102.6667,0.1543,0.441113,"100.0,100.0,100.0,100.0,80.0,100.0",Steady High Performer
14868,4607,6,96.6667,-1.714286,102.6667,0.1543,0.441113,"100.0,100.0,100.0,100.0,80.0,100.0",Steady High Performer
14876,4607,6,70.0,2.857143,60.0,0.2381,0.326164,"60.0,60.0,80.0,80.0,60.0,80.0",Steady High Performer
15094,4607,6,76.6667,5.142857,58.6667,0.131,0.480803,"100.0,40.0,60.0,60.0,100.0,100.0",Improver
15236,4607,6,33.3333,-1.142857,37.3333,0.0171,0.804726,"60.0,20.0,20.0,20.0,40.0,40.0",Consistently Struggling
15257,4607,6,96.6667,-1.714286,102.6667,0.1543,0.441113,"100.0,100.0,100.0,100.0,80.0,100.0",Steady High Performer
15278,4607,6,83.3333,2.857143,73.3333,0.4286,0.158302,"80.0,80.0,80.0,80.0,80.0,100.0",Steady High Performer
15281,4607,6,93.3333,0.0,93.3333,0.0,1.0,"100.0,80.0,100.0,100.0,80.0,100.0",Steady High Performer
15337,4607,6,86.6667,2.285714,78.6667,0.0686,0.616186,"100.0,80.0,60.0,80.0,100.0,100.0",Steady High Performer
15350,4607,6,93.3333,-2.285714,101.3333,0.1714,0.41443,"100.0,100.0,80.0,100.0,100.0,80.0",Steady High Performer
15402,4607,6,60.0,6.857143,36.0,0.5143,0.108701,"40.0,60.0,60.0,40.0,80.0,80.0",Improver
16294,4607,6,70.0,4.0,56.0,0.1273,0.487573,"80.0,60.0,40.0,60.0,100.0,80.0",Steady High Performer
16360,4607,6,76.6667,-9.714286,110.6667,0.1982,0.376363,"100.0,100.0,100.0,60.0,0.0,100.0",Decliner
16362,4607,6,90.0,1.714286,84.0,0.0367,0.716026,"100.0,60.0,100.0,100.0,80.0,100.0",Steady High Performer
16648,4607,6,76.6667,-1.714286,82.6667,0.0454,0.685301,"100.0,60.0,80.0,60.0,80.0,80.0",Steady High Performer
